0.063, 44.367
0.079, 30.548
0.1, 20.805
0.126, 14.089
0.158, 9.534
0.2, 6.483
0.251, 4.468
0.316, 3.154
0.398, 2.306
0.501, 1.764
0.631, 1.427
0.794, 1.226
1, 1.124
1.259, 1.096
1.585, 1.107
1.995, 1.136
2.512, 1.174
3.162, 1.214
3.981, 1.247
5.012, 1.275
6.31, 1.298
7.943, 1.314
10, 1.323
12.589, 1.327
15.849, 1.33
